movie_id,genre
425061,Adventure
425061,Comedy
337741,Comedy
337741,Drama
337741,Romance
1130884,Mystery
1130884,Thriller
369436,Comedy
369436,Drama
369436,Romance
358082,Adventure
358082,Animation
358082,Comedy
358082,Family
358082,Sci-Fi
119094,Action
119094,Crime
119094,Sci-Fi
119094,Thriller
960731,Comedy
960731,Family
960731,Fantasy
960731,Romance
257044,Crime
257044,Drama
257044,Thriller
1564367,Comedy
1564367,Romance
3322312,Action
3322312,Adventure
3322312,Crime
3322312,Drama
3322312,Sci-Fi
3322312,Thriller
118880,Action
118880,Crime
118880,Thriller
1059786,Action
1059786,Mystery
1059786,Thriller
159365,Adventure
159365,Drama
159365,History
159365,Romance
159365,War
1037705,Action
1037705,Adventure
1037705,Drama
1037705,Thriller
119137,Comedy
119137,Family
119137,Sci-Fi
171363,Fantasy
171363,Horror
171363,Mystery
171363,Thriller
117705,Adventure
117705,Animation
117705,Comedy
117705,Family
117705,Fantasy
117705,Sci-Fi
117705,Sport
383216,Adventure
383216,Comedy
383216,Crime
383216,Family
383216,Mystery
118883,Action
118883,Crime
118883,Mystery
118883,Romance
118883,Thriller
2713180,Action
2713180,Drama
2713180,War
120828,Action
120828,Adventure
120828,Comedy
120828,Romance
1302067,Adventure
1302067,Animation
1302067,Comedy
1302067,Family
166813,Adventure
166813,Animation
166813,Family
166813,Western
1222817,Comedy
1222817,Family
1222817,Romance
120738,Action
120738,Adventure
120738,Family
120738,Sci-Fi
120738,Thriller
368008,Drama
368008,Mystery
368008,Sci-Fi
368008,Thriller
119033,Drama
119033,Romance
2510894,Animation
2510894,Comedy
2510894,Family
2510894,Fantasy
57733,Comedy
57733,Family
57733,Fantasy
120910,Animation
120910,Family
120910,Fantasy
120910,Music
268695,Action
268695,Adventure
268695,Sci-Fi
120751,Action
120751,Adventure
120751,Family
120751,Fantasy
120751,Thriller
244244,Action
244244,Crime
244244,Thriller
386140,Action
386140,Adventure
386140,Western
120889,Drama
120889,Fantasy
120889,Romance
185431,Comedy
185431,Fantasy
355295,Action
355295,Adventure
355295,Comedy
355295,Fantasy
355295,Thriller
116996,Action
116996,Comedy
116996,Sci-Fi
4291590,Drama
4291590,Horror
4291590,Mystery
4291590,Sci-Fi
119051,Action
119051,Adventure
119051,Drama
119051,Thriller
986263,Action
986263,Sci-Fi
986263,Thriller
146309,Drama
146309,History
146309,Thriller
116040,Action
116040,Adventure
116040,Drama
116040,Thriller
1762399,Adventure
1762399,Animation
1762399,Family
185183,Action
185183,Adventure
185183,Sci-Fi
318155,Adventure
318155,Animation
318155,Comedy
318155,Family
318155,Fantasy
318155,Sci-Fi
875034,Drama
875034,Musical
875034,Romance
300556,Action
300556,Adventure
300556,Sci-Fi
119925,Action
119925,Adventure
119925,Drama
119925,Sci-Fi
120595,Adventure
120595,Comedy
120595,Drama
120595,Family
120595,Fantasy
1618442,Action
1618442,Adventure
1618442,Fantasy
199753,Action
199753,Sci-Fi
199753,Thriller
344854,Adventure
344854,Animation
344854,Family
